ghi_2000,ghi_2006,ghi_2012,ghi_2014,ghi_2021,ghi_2022
50.9,42.7,34.3,28.3,30.6,29.9
20.7,15.9,8.8,6.2,9.2,6.2
14.5,11.7,8.9,6.9,8.7,6.9
65.0,46.9,27.8,26.0,26.2,25.9
6.4,5.6,5.2,5.3,5.0,6.8
19.3,13.3,10.4,7.2,7.3,6.9
25.0,15.9,10.6,7.5,9.3,7.5
34.0,28.9,28.6,19.1,26.3,19.6
2.5,2.5,2.5,2.5,5.0,5.0
34.0,27.7,24.0,22.2,23.2,21.7
27.7,23.3,15.6,12.7,14.7,13.2
9.3,6.7,2.5,2.5,5.0,5.0
26.7,26.2,24.3,23.2,20.5,20.0
11.5,7.4,5.5,2.5,5.0,5.4
8.6,8.1,7.8,6.1,7.4,5.9
44.9,35.8,29.7,24.5,26.5,24.5
,,,42.5,,
41.1,27.1,24.2,17.0,20.1,17.1
35.7,30.9,23.1,18.6,21.4,18.9
15.4,11.9,12.3,10.8,12.1,11.8
48.9,48.0,40.5,43.0,44.6,44.0
50.8,51.2,45.7,39.6,40.7,37.2
2.5,2.5,2.5,2.5,5.0,5.0
13.3,9.0,2.5,2.5,5.0,5.0
10.9,11.4,9.3,8.9,8.6,7.6
,,,42.5,29.1,26.9
34.9,34.6,28.5,30.3,25.3,28.1
7.0,5.5,2.5,5.3,5.0,5.3
33.3,37.1,30.0,22.3,22.7,16.8
2.5,2.5,2.5,2.5,5.0,5.0
2.5,2.5,2.5,2.5,,
50.6,45.3,42.3,39.0,38.7,37.8
44.3,36.9,35.4,27.4,27.4,21.5
15.1,13.2,10.2,8.0,9.8,8.8
19.7,18.9,12.8,14.0,11.7,15.2
16.3,14.4,15.2,12.5,14.6,12.3
14.7,12.0,10.4,8.9,10.4,8.4
2.5,2.5,2.5,2.5,5.0,5.0
24.5,23.2,21.8,17.0,18.4,16.3
53.5,43.4,33.5,24.1,27.4,27.6
9.6,9.0,8.1,8.6,9.3,9.2
21.0,20.2,18.6,16.6,16.5,17.2
29.0,27.5,22.1,17.6,22.2,20.7
12.3,8.8,2.5,6.3,6.1,5.7
28.4,22.0,17.9,14.9,15.5,13.9
28.4,24.6,22.0,19.6,21.7,18.8
,,,27.5,,
,,,27.5,30.2,30.8
17.1,15.6,12.1,10.7,12.4,10.4
42.0,43.6,35.2,32.8,32.6,32.7
21.8,19.6,13.8,12.8,14.1,13.4
38.8,37.4,28.8,27.5,28.2,29.1
26.1,29.5,23.0,18.0,22.2,17.9
13.5,8.9,8.1,7.7,7.4,6.5
23.9,23.9,27.5,22.8,16.6,13.7
8.6,9.0,9.1,8.6,8.8,7.0
10.8,8.1,8.5,8.3,7.4,10.6
11.2,12.3,8.1,6.4,5.8,5.9
36.7,31.2,25.4,23.0,21.6,23.5
2.5,2.5,2.5,2.5,5.0,5.0
